1405-05-05 11:32:21.328 Log saving enabled by user.
1405-05-05 11:32:29.627 Delimiter vk=13 layout=en word='ide' -> 'هیث'
1405-05-05 11:32:29.655 Apply delete=3 'ide' -> 'هیث' (consumed: True)
1405-05-05 11:32:29.717 Layout switch OK -> Persian
1405-05-05 11:32:39.588 Delimiter vk=13 layout=fa word='' -> ''
1405-05-05 11:33:08.396 Delimiter vk=32 layout=fa word='انتقال' -> 'انتقال'
1405-05-05 11:33:11.435 Delimiter vk=32 layout=fa word='مشتریان' -> 'مشتریان'
1405-05-05 11:33:13.867 Delimiter vk=32 layout=fa word='' -> ''
1405-05-05 11:33:14.460 Delimiter vk=32 layout=fa word='به' -> 'به'
1405-05-05 11:33:18.388 Delimiter vk=32 layout=fa word='کاربربا' -> 'کاربربا'
1405-05-05 11:33:19.699 Delimiter vk=32 layout=fa word='سلام' -> 'سلام'
1405-05-05 11:33:20.163 Delimiter vk=32 layout=fa word='در' -> 'در'
1405-05-05 11:33:21.060 Delimiter vk=32 layout=fa word='نظر' -> 'نظر'
1405-05-05 11:33:22.036 Delimiter vk=32 layout=fa word='داریم' -> 'داریم'
1405-05-05 11:33:27.603 Delimiter vk=32 layout=fa word='مشتریان' -> 'مشتریان'
1405-05-05 11:33:28.708 Delimiter vk=32 layout=fa word='دو' -> 'دو'
1405-05-05 11:33:30.220 Delimiter vk=32 layout=fa word='کاربر' -> 'کاربر'
1405-05-05 11:33:31.508 Delimiter vk=32 layout=fa word='قدیمی' -> 'قدیمی'
1405-05-05 11:33:32.908 Delimiter vk=32 layout=fa word='خود' -> 'خود'
1405-05-05 11:33:33.396 Delimiter vk=32 layout=fa word='را' -> 'را'
1405-05-05 11:33:33.795 Delimiter vk=32 layout=fa word='به' -> 'به'
1405-05-05 11:33:36.204 Delimiter vk=32 layout=fa word='کاربران' -> 'کاربران'
1405-05-05 11:33:37.812 Delimiter vk=32 layout=fa word='دیگر' -> 'دیگر'
1405-05-05 11:33:39.540 Delimiter vk=32 layout=fa word='انتقال' -> 'انتقال'
1405-05-05 11:33:40.452 Delimiter vk=32 layout=fa word='دهیم' -> 'دهیم'
1405-05-05 11:33:40.996 Delimiter vk=32 layout=fa word='تا' -> 'تا'
1405-05-05 11:33:42.164 Delimiter vk=32 layout=fa word='انها' -> 'انها'
1405-05-05 11:33:44.571 Delimiter vk=32 layout=fa word='کارهایشان' -> 'کارهایشان'
1405-05-05 11:33:44.988 Delimiter vk=32 layout=fa word='را' -> 'را'
1405-05-05 11:33:46.603 Delimiter vk=32 layout=fa word='پیگیری' -> 'پیگیری'
1405-05-05 11:33:54.878 Delimiter vk=32 layout=fa word='نمایند' -> 'نمایند'
1405-05-05 11:33:57.260 Delimiter vk=32 layout=fa word='مشتری' -> 'مشتری'
1405-05-05 11:33:59.276 Delimiter vk=32 layout=fa word='تسمه' -> 'تسمه'
1405-05-05 11:33:59.684 Delimiter vk=32 layout=fa word='و' -> 'و'
1405-05-05 11:34:01.028 Delimiter vk=32 layout=fa word='تسمه' -> 'تسمه'
1405-05-05 11:34:02.172 Delimiter vk=32 layout=fa word='کش' -> 'کش'
1405-05-05 11:34:05.276 Delimiter vk=32 layout=fa word='کاربر' -> 'کاربر'
1405-05-05 11:34:10.215 Delimiter vk=32 layout=en word='novin' -> 'novin'
1405-05-05 11:34:15.141 Delimiter vk=32 layout=en word='talk' -> 'talk'
1405-05-05 11:34:15.660 Delimiter vk=32 layout=fa word='به' -> 'به'
1405-05-05 11:34:17.092 Delimiter vk=32 layout=fa word='اشکان' -> 'اشکان'
1405-05-05 11:34:21.044 Delimiter vk=32 layout=fa word='ایرانی' -> 'ایرانی'
1405-05-05 11:34:23.188 Delimiter vk=32 layout=fa word='منتقل' -> 'منتقل'
1405-05-05 11:34:24.308 Delimiter vk=32 layout=fa word='شود' -> 'شود'
1405-05-05 11:34:29.252 Delimiter vk=32 layout=fa word='' -> ''
1405-05-05 11:34:33.797 Delimiter vk=32 layout=fa word='محصولاتو' -> 'محصولاتو'
1405-05-05 11:34:37.339 Delimiter vk=32 layout=fa word='باقی' -> 'باقی'
1405-05-05 11:34:37.812 Delimiter vk=32 layout=fa word='به' -> 'به'
1405-05-05 11:34:40.900 Delimiter vk=32 layout=fa word='مینا' -> 'مینا'
1405-05-05 11:34:42.836 Delimiter vk=32 layout=fa word='عسگری' -> 'عسگری'
1405-05-05 11:34:44.948 Delimiter vk=32 layout=fa word='همچنین' -> 'همچنین'
1405-05-05 11:34:46.308 Delimiter vk=32 layout=fa word='مشتری' -> 'مشتری'
1405-05-05 11:34:47.107 Delimiter vk=32 layout=fa word='های' -> 'های'
1405-05-05 11:34:48.748 Delimiter vk=32 layout=fa word='غیر' -> 'غیر'
1405-05-05 11:34:49.228 Delimiter vk=32 layout=fa word='از' -> 'از'
1405-05-05 11:34:50.388 Delimiter vk=32 layout=fa word='تسمه' -> 'تسمه'
1405-05-05 11:34:50.787 Delimiter vk=32 layout=fa word='و' -> 'و'
1405-05-05 11:34:51.820 Delimiter vk=32 layout=fa word='تسمه' -> 'تسمه'
1405-05-05 11:34:52.483 Delimiter vk=32 layout=fa word='کش' -> 'کش'
1405-05-05 11:34:52.940 Delimiter vk=32 layout=fa word='از' -> 'از'
1405-05-05 11:34:54.604 Delimiter vk=32 layout=fa word='اشکان' -> 'اشکان'
1405-05-05 11:34:55.827 Delimiter vk=32 layout=fa word='ایرانی' -> 'ایرانی'
1405-05-05 11:34:56.588 Delimiter vk=32 layout=fa word='به' -> 'به'
1405-05-05 11:34:57.740 Delimiter vk=32 layout=fa word='مینا' -> 'مینا'
1405-05-05 11:34:59.316 Delimiter vk=32 layout=fa word='عسگری' -> 'عسگری'
1405-05-05 11:35:00.924 Delimiter vk=32 layout=fa word='منتقل' -> 'منتقل'
1405-05-05 11:35:05.500 Delimiter vk=32 layout=fa word='شوند' -> 'شوند'
1405-05-05 11:35:06.172 Delimiter vk=32 layout=fa word='این' -> 'این'
1405-05-05 11:35:07.651 Delimiter vk=32 layout=fa word='انتقال' -> 'انتقال'
1405-05-05 11:35:08.124 Delimiter vk=32 layout=fa word='با' -> 'با'
1405-05-05 11:35:10.572 Delimiter vk=32 layout=fa word='یاداوری' -> 'یاداوری'
1405-05-05 11:35:11.188 Delimiter vk=32 layout=fa word='های' -> 'های'
1405-05-05 11:35:12.276 Delimiter vk=32 layout=fa word='داخل' -> 'داخل'
1405-05-05 11:35:16.372 Delimiter vk=32 layout=fa word='کارتابل' -> 'کارتابل'
